year,n_hsplus,n_realfuelpr,n_unionmem,n_popdensity,n_pctmanuf,n_ptax,n_inctax,n_capgntax,n_salestax,n_corptax,n_wctaxfixed,n_uitax,stfip_nbr
1978,69.900002,11.3,26.200001,146.39999,.18000001,.011221927,11,7.1500001,4.75,9,2.2492471,291,6
1978,74.599998,9.5,17.299999,26.700001,.14,.0082580522,3.9000001,1.23,3,5,1.086,228,8
1978,66.699997,12.5,26.700001,638.70001,.30000001,.016168019,0,3.3800001,7,10,1.286,420,9
1978,65.099998,14.3,25.4,306,.34,.0075275931,19.799999,9.5699997,0,8.6999998,1.192731,297,10
1978,63.200001,13.3,13,169.10001,.11,.0087256255,0,0,4,5,2.8529999,270,12
1978,52.099998,11.4,11.9,91.300003,.23,.0088180732,6,2.9000001,3,6,1.0700001,294,13
1978,70,10.7,17.299999,11,.18000001,.0092200423,7.5,3.6199999,3,6.5,1.285,528,16
1978,63.900002,9.8000002,27.299999,205.7,.27000001,.015276728,2.5,2.5,4,4,1.38,280,17
1978,62.200001,10.3,30.799999,151.8,.36000001,.0097875288,2,.97000003,4,6,.56800002,198,18
1978,67.900002,9.3000002,21,52.200001,.25,.012657958,6.9499998,2.23,3,10,.89899999,474.14999,19
1978,69.599998,9.1000004,15.9,28.5,.19,.014355134,4.71,1.5,3,4.5,1.0549999,213,20
1978,50.400002,10.2,22.799999,90.900002,.28999999,.0072127772,3.0899999,.97000003,5,5.8000002,1.732,368,21
1978,54.799999,6.4000001,13,93.5,.15000001,.003192446,1.88,.91000003,3,8,1.757,225.89999,22
1978,65.199997,12.1,19.1,36.099998,.23999999,.014509432,10,4.8299999,5,7,1.216,309,23
1978,64,12.4,22,430.89999,.15000001,.012982463,5,2.4200001,5,7,1.447,258,24
1978,68.099998,10.5,22.200001,732.70001,.25999999,.024068642,5.3800001,10.75,5,9.4961996,1.465,345,25
1978,64.599998,10.8,35.099998,162,.38,.020141387,4.5999999,2.22,4,0,2.112,438,26
1978,69.400002,10,26.6,50.299999,.20999999,.010652549,9.29,3.03,4,12,1.821,622.5,27
1978,52,10.6,13,53,.23999999,.0061100479,3.0799999,3.0799999,5,4,.92900002,162,28
1978,60.400002,10.9,20.1,70.699997,.25,.010232608,2.9100001,.92000002,3.125,5,.83899999,211.2,29
1978,70.599998,8.8000002,26.5,5.4000001,.1,.013595357,6.4400001,2.0599999,0,6.75,2.234,300,30
1978,69.699997,12.5,15.9,20.299999,.14,.018997351,10.07,4.8699999,3,4.4000001,.73900002,192,31
1978,71.699997,10.8,23.5,6.5999999,.050000001,.0074280011,0,0,3,0,1.5345449,325.5,32
1978,68.599998,9.5,16.1,99.699997,.30000001,.020305065,0,0,0,8,1.449,285,33
1978,63.900002,13.1,27.200001,991.59998,.25999999,.022993997,2.5,2.5,5,7.5,1.398,508.39999,34
1978,65.400002,12.6,13.5,10.3,.050000001,.0069545521,8.2600002,3.99,4,5,1.286,361.25,35
1978,62.299999,10.3,34,375.20001,.2,.025965601,16.25,11.57,4,10,1.683,321,36
1978,50.5,11.4,8,117.8,.33000001,.0087681403,7,7,3,6,.50800002,312,37
1978,63,12.1,15.4,9.3999996,.050000001,.015110637,2.3699999,1.83,3,6,.054361999,452.76001,38
1978,63.799999,9.8000002,30.1,263.60001,.34999999,.011678155,3.3299999,1.61,4,8,1.622588,303,39
1978,62.700001,9.8999996,14.6,42.400002,.15000001,.0075466498,6,2.9000001,2,4,1.434,162,40
1978,71.800003,10.3,27.9,26.1,.25,.013976885,10,4.8299999,0,7.5,2.8010001,440,41
1978,62.5,10,32.200001,264.70001,.28999999,.016841592,2.2,2.2,6,10.5,1.451681,264,42
1978,58,12.4,26.299999,916,.28999999,.018350866,8.6800003,5.5700002,6,8,1.4349999,473,44
1978,51,11.4,6.1999998,101,.31,.0063933032,7,3.5,4,6,.699,246,45
1978,64.5,10.9,14,9.1000004,.079999998,.020273253,0,0,4,0,.72000003,231,46
1978,53.400002,11.5,23.4,108.2,.27000001,.0082747759,0,0,4.5,6,1.063,240,47
1978,59.599998,9.1999998,10.8,51.5,.17,.013319463,0,0,4,0,1.909,240,48
1978,75.900002,8.5,17.700001,16.6,.15000001,.0068520908,4.0300002,1.28,4,4,.82800001,336,49
1978,67.400002,12.1,15.8,53.900002,.23999999,.019123729,14.88,7.1900001,3,7.5,.935,363,50
1978,61,12.4,12.9,133.39999,.19,.0087372316,5.75,2.78,3,6,.89499998,225,51
1978,73.699997,8.6000004,33.299999,58.400002,.19,.010785815,0,0,4.5,0,1.348101,340.20001,53
1978,53.200001,10.2,27.9,79.699997,.20999999,.004720463,8.7600002,4.23,3,6,.92500001,264,54
1978,66.099998,8.8000002,26.299999,85.300003,.31999999,.019811992,10.23,10.23,4,7.9000001,.76899999,366,55
1978,74,8,16.799999,4.4000001,.050000001,.0052760332,0,0,3,0,.46249199,200.7,56
1979,56.5,8.1999998,24,76.199997,.25999999,.003512535,2.5599999,3.74,4,5,1.013,264,1
1979,72.400002,10.7,14.4,23.200001,.14,.0080013722,4.1700001,1.09,4,10.5,2.6059999,198,4
1979,55.5,14.1,13.7,43.599998,.25,.0072444328,7,5.5999999,3,6,1.291,303.60001,5
1979,73.5,12.6,26,149.10001,.18000001,.0070348028,11,7.1500001,4.75,9.3000002,2.333122,288,6
1979,78.599998,11.3,17.799999,27.5,.14,.0081324223,3.73,.97000003,3,5,1.1059999,240,8
1979,70.300003,15.2,24.799999,639.79999,.30000001,.015289468,0,2.8,7,10,1.465,420,9
1979,68.599998,15.4,27,306.39999,.34,.0074824821,16.65,6.6599998,0,8.6999998,1.276606,297,10
1979,66.699997,15,11.7,175.39999,.11,.0086354958,0,0,4,5,2.642,270,12
1979,56.400002,12.4,12.2,93.099998,.23,.0086290054,6,2.4000001,3,6,1.262,306,13
1979,73.699997,11.6,20.5,11.3,.18000001,.0097296136,7.5,3,3,6.5,1.413,528,16
1979,66.5,11.1,29.200001,205.5,.25999999,.015210242,2.5,2.5,4,5.4250002,1.4299999,280,17
1979,66.400002,11.9,29.200001,152.60001,.34999999,.0092354678,1.7,.68000001,4,6,.53299999,198,18
1979,71.5,10.1,24.9,52.200001,.25,.013250774,6.9499998,1.84,3,10,1.1720001,522,19
1979,73.300003,10,14.9,28.700001,.2,.014256564,4.71,1.23,3,4.5,.94099998,210,20
1979,53.099998,11.5,24.4,91.699997,.28,.0072137341,3.0899999,.80000001,5,5.8000002,1.698,400,21
1979,57.700001,7.5,15,95,.16,.003005092,1.88,.75,3,8,1.698,271.79999,22
1979,68.699997,15,16.5,36.400002,.25,.013571189,10,4,5,6.9650002,1.5880001,300,23
1979,67.400002,12.9,24.5,432.10001,.15000001,.012074834,5,2,5,7,1.819,300,24
1979,72.199997,13,24,733.09998,.25999999,.020848162,5.3800001,10.75,5,9.4961996,1.691,384,25
1979,68,12,37.599998,162.8,.34999999,.020057749,4.5999999,1.84,4,0,2.1259999,480,26
1979,73.099998,11.6,27.799999,50.700001,.22,.010362914,9.29,3.6099999,4,12,1.955,622.5,27
1979,54.799999,12.5,14.7,53.5,.23999999,.0059818262,3.8499999,3.8499999,5,4,.866,162,28
1979,63.5,12.4,23.1,71,.23999999,.0099940738,2.9100001,.75999999,3.125,5,.89700001,211.2,29
1979,74.400002,9.8999996,24.200001,5.4000001,.1,.013171356,6.4400001,1.7,0,6.75,1.477,352,30
1979,73.400002,13.6,17.799999,20.299999,.14,.019486532,11.19,4.4699998,3,4.5374999,.75400001,162,31
1979,75.5,12.4,26.200001,7,.050000001,.0077096042,0,0,3,0,1.61842,325.5,32
1979,72.300003,10.9,13.4,101.7,.30000001,.019478673,0,0,0,8,1.513,330,33
1979,67.400002,15.9,28.9,993.79999,.25999999,.021876384,2.5,2.5,5,7.5,1.4220001,508.39999,34
1979,68.900002,14.4,15.6,10.6,.059999999,.0068851388,8.2600002,3.3,3.875,5,1.524,365.5,35
1979,66.300003,12.6,35,373.39999,.19,.024044299,15,8.4099998,4,10,2.119,330,36
1979,54.799999,13.3,9.3999996,119.1,.33000001,.0087444643,7,7,3,6,.61400002,342,37
1979,66.400002,14.1,15.8,9.5,.050000001,.015186848,2.3699999,1.74,3,7.25,.054361999,443.51999,38
1979,67,11.1,33,263.70001,.34999999,.011597194,3.3299999,1.33,4,8,1.706463,318,39
1979,66,11.2,10.5,43.200001,.15000001,.0076152561,6,2.4000001,2,4,1.585,162,40
1979,75.599998,11.8,29.299999,26.9,.25,.013674896,10,4,0,7.5,2.756,440,41
1979,64.699997,11.1,33.099998,264.89999,.28999999,.016322466,2.2,2.2,6,10.5,1.535556,264,42
1979,61.099998,14.8,22.799999,915.40002,.28999999,.017319644,8.6800003,4.6199999,6,8,1.543,516,44
1979,53.700001,13.1,7.5999999,102.5,.31,.006190795,7,3.5,4,6,.954,246,45
1979,67.900002,13.4,12.9,9.1000004,.090000004,.020088688,0,0,4,0,.91500002,300,46
1979,56.200001,12.9,21.4,110,.27000001,.0080841836,0,0,4.5,6,1.038,240,47
1979,62.599998,10.9,12.5,53,.18000001,.013262867,0,0,4,0,1.896,240,48
1979,80,10.1,18,17.200001,.15000001,.007264928,4.0300002,1.05,4,4,.95599997,324,49
1979,71,13.6,16,54.700001,.25,.01801374,13.86,5.54,3,7.5,.935,360,50
1979,62.400002,15.1,13.9,134.5,.19,.0083838878,5.75,2.3,3,6,1.122,288,51
1979,77.599998,9.8999996,34.700001,60.299999,.19,.010772558,0,0,4.5,0,1.431976,356.39999,53
1979,56,12,30.6,80.5,.20999999,.0047232411,8.7600002,3.5,3,6,1.085,264,54
1979,69.599998,10,29.299999,85.900002,.31999999,.019817248,10,10,4,7.9000001,.82499999,390,55
1979,77.900002,9.6999998,20.799999,4.6999998,.059999999,.0056481981,0,0,3,0,.54636699,186,56
1980,57.299999,10.6,19.5,76.900002,.25,.0035874939,2.5599999,3.74,4,5,1.022,264,1
1980,73.400002,13.8,16.1,24.1,.14,.0081900498,4.1700001,1.09,4,10.5,2.4260001,168,4
1980,56.299999,17.5,11.7,44,.25,.0074506798,7,5.5999999,3,6,1.4859999,207,5
1980,73.699997,16.1,24.4,152.60001,.18000001,.0066799782,11,7.1500001,4.75,9.6000004,2.3896971,240,6
1980,79.699997,13.6,15.2,28,.14,.0080528567,3.3099999,.86000001,3,5,.87800002,270,8
1980,71.300003,18.700001,25.799999,642.5,.28999999,.014337931,0,2.8,7,10,2.0190001,420,9
1980,69.599998,18.200001,22.6,304.39999,.34,.0070684589,13.5,5.4000001,0,8.6999998,1.333181,429,10
1980,67.199997,18.299999,12,182.2,.11,.0080975378,0,0,4,5,2.2079999,270,12
1980,58.599998,15.2,12.5,94.699997,.22,.0080925114,6,2.4000001,3,6,1.201,342,13
1980,74.699997,14,20.1,11.5,.16,.0092755789,7.5,3,3,6.5,1.347,528,16
1980,68.5,13.9,29.5,205.7,.25,.015114727,2.5,2.5,4,6.8499999,1.682,371,17
1980,67.699997,14,29.5,153.10001,.33000001,.0088585699,1.9,.75999999,4,6,.59299999,198,18
1980,72.5,11.8,24.299999,52.200001,.25,.013555594,6.9499998,1.84,3,10,1.345,522,19
1980,74.300003,12.5,13.7,29,.19,.013678806,4.71,1.23,3,4.5,.949,216,20
1980,53.900002,14.1,21.200001,92.199997,.25999999,.0072127772,3.0899999,.80000001,5,5.8000002,1.7079999,408,21
1980,58.5,9.5,13.2,96.900002,.14,.003060742,2.9100001,.75999999,3,8,1.893,199.8,22
1980,69.699997,18.299999,21.4,36.5,.25,.013053812,10,4,5,6.9299998,2.096,300,23
1980,68.400002,16,22.6,432.5,.14,.011733835,5,2,5,7,1.726,360,24
1980,72.699997,16.5,23.299999,733.09998,.25999999,.017714592,5.3800001,8.6000004,5,9.4961996,1.783,384,25
1980,69.5,13.8,34.900002,162.89999,.31,.02051886,4.5999999,1.84,4,0,2.5699999,510,26
1980,74.099998,14.4,26.5,51.299999,.20999999,.010185183,8.6999998,3.3699999,4,12,2.016,622.5,27
1980,55.599998,15.1,16,53.799999,.23,.0057595731,3.8499999,3.8499999,5,4,.93699998,240,28
1980,64.800003,15.2,24.6,71.400002,.22,.0098587433,2.9100001,.75999999,3.125,5,.88200003,330,29
1980,75.5,12.6,27.4,5.4000001,.079999998,.013625383,6.4400001,1.7,0,6.75,1.642,352,30
1980,74.400002,16.6,17,20.5,.14,.01908692,9.5,3.8,3,4.6750002,.84500003,162,31
1980,76.599998,15.3,26.5,7.4000001,.050000001,.006452926,0,0,3,0,1.6749949,325.5,32
1980,73.300003,13.6,16.200001,103,.31,.018766334,0,0,0,8,1.7309999,360,33
1980,68.300003,19.4,30.799999,994.29999,.25,.020144658,2.5,2.5,5,7.5,1.781,508.39999,34
1980,69.900002,17.5,14.6,10.8,.050000001,.0070696049,8.2600002,3.3,3.75,5,1.678,357,35
1980,66.400002,14.9,33.5,372,.19,.022349145,13.75,8.2399998,4,10,2.1289999,312,36
1980,55.299999,17.1,8.1000004,121.1,.31999999,.0088302903,7,7,3,6,.70099998,342,37
1980,67.300003,16.799999,14.8,9.5,.050000001,.015070057,2.3699999,1.74,3,8.5,.110937,443.51999,38
1980,68.699997,13,29.1,263.70001,.31999999,.011831605,3.3299999,1.33,4,8,1.763038,270,39
1980,66.900002,13.6,10.9,44.299999,.14,.007445191,6,2.4000001,2,4,1.489,204,40
1980,76.699997,14.8,22.9,27.5,.23,.014000362,10,4,0,7.5,2.5639999,396,41
1980,66.5,13.3,32.200001,264.79999,.28,.016341181,2.2,2.2,6,10.5,1.592131,425.70001,42
1980,62,18.700001,24.200001,907.90002,.28,.015989318,8.6800003,4.6199999,6,8,1.5779999,516,44
1980,54.5,15,6,104.1,.30000001,.0062332721,7,3.5,4,6,.97500002,246,45
1980,68.900002,16.200001,13.2,9.1000004,.090000004,.019611718,0,0,4,0,.81400001,330,46
1980,57,15.2,21.4,111.6,.25999999,.0079787299,0,0,4.5,6,.935,240,47
1980,62.599998,12.7,12.1,54.700001,.17,.013094008,0,0,4,0,1.803,240,48
1980,81.099998,12.1,18.299999,17.9,.15000001,.0074002189,4.0300002,1.05,4,4,.796,324,49
1980,72,16.6,14.5,55.400002,.27000001,.017533896,13.86,5.54,3,7.5,1.056,360,50
1980,65.199997,18.799999,13.4,135.60001,.19,.0081921276,5.75,2.3,3,6,1.204,378,51
1980,78.699997,12.3,32.900002,62.400002,.18000001,.010214851,0,0,4.5,0,1.488551,324,53
1980,56.799999,14.1,32.400002,81,.19,.0047621378,8.7600002,3.5,3,6,1.113,264,54
1980,70.599998,12.1,26.5,86.800003,.31,.019743657,10,10,4,7.9000001,.90700001,390,55
1980,79,12.2,17.9,4.9000001,.039999999,.0058285068,0,0,3,0,.60294199,184.2,56
1981,58.099998,12.2,18.4,77.199997,.25,.0036057541,2.5599999,3.77,4,5,1.044,264,1
1981,74.5,14.2,10.8,24.700001,.14,.0070007541,4.1700001,1.14,4,10.5,1.924,171,4
1981,57.099998,17.799999,8,44,.23999999,.0074705118,7,5.5999999,3,6,1.535,313.95001,5
1981,73.900002,16.9,22.799999,155.7,.18000001,.0065275212,11,7.1500001,4.75,9.6000004,2.387922,246,6
1981,80.800003,15,14.4,28.700001,.13,.0081795342,3.48,.94999999,3,5,.98199999,270,8
1981,72.300003,21.299999,24.1,645.70001,.28,.013929744,0,2.8,7.25,10,1.966,420,9
1981,70.599998,18.9,26.700001,304.89999,.34999999,.0065762429,13.5,5.4000001,0,8.6999998,1.331406,495,10
1981,67.800003,20.299999,11.7,188.8,.11,.008165135,0,0,4,5,2.006,270,12
1981,60.900002,16,8.6999998,96.099998,.22,.0080454843,6,2.4000001,3,6,1.1849999,332.39999,13
1981,75.800003,14.8,23.1,11.6,.16,.0091752233,7.5,3,3,6.5,1.6059999,528,16
1981,70.599998,14.5,25.6,205.8,.23999999,.015272046,2.5,2.5,4,6.6750002,1.6059999,385,17
1981,68.900002,14.6,27.799999,152.8,.33000001,.010144746,1.9,.75999999,4,6,.486,219,18
1981,73.5,12.2,29.1,52,.25,.01445521,6.9499998,1.92,3,10,1.28,522,19
1981,75.400002,13.6,12.7,29.1,.18000001,.013557789,4.71,1.29,3,4.5,.96799999,237,20
1981,54.599998,15.2,21.5,92.400002,.25999999,.0070922291,3.0899999,.83999997,5,5.9000001,1.263,604,21
1981,59.299999,10.7,14.1,98.300003,.12,.0030190039,2.9100001,.79000002,3,8,1.928,201.6324,22
1981,70.699997,20,20.1,36.700001,.23999999,.012709558,10,4,5,6.9299998,2.1719999,300,23
1981,69.300003,16.799999,26.1,436,.14,.011433674,5,2,5,7,2.0469999,330,24
1981,73.300003,17.4,26.6,736,.25,.015668835,5.3800001,6.4499998,5,9.4961996,1.831,393,25
1981,71,14.5,32.799999,162.10001,.33000001,.02111093,4.5999999,1.84,4,0,2.4719999,525,26
1981,75.199997,15.4,20.200001,51.599998,.20999999,.009727221,8.6999998,3.47,4.5,12,1.931,622.5,27
1981,56.400002,15.6,11.2,54.099998,.22,.005546818,3.8499999,3.8499999,5,4,.917,240,28
1981,66.199997,16.700001,20.5,71.599998,.22,.0095637403,2.9100001,.79000002,3.125,5,.82200003,336.60001,29
1981,76.5,13.6,26.1,5.5,.07,.014394228,5.8200002,1.6,0,6.75,1.6109999,352,30
1981,75.5,17.700001,21,20.5,.14,.01882215,9.3900003,3.76,3,4.4000001,.87,192,31
1981,77.599998,16.200001,28.5,7.6999998,.050000001,.00693759,0,0,4.375,0,1.67322,330.14999,32
1981,74.400002,14.7,19.4,104.4,.30000001,.018143883,0,0,0,8.54,1.5190001,375,33
1981,69.099998,21.700001,25,998.5,.25,.019443767,2.5,2.5,5,8.25,1.859,508.39999,34
1981,70.900002,18.5,19,11,.050000001,.0069374372,6.2800002,2.51,3.625,5.5,2.01,357,35
1981,66.599998,16.200001,29.4,372,.18000001,.021092761,12.5,8.0699997,4,10,1.844,312,36
1981,55.900002,17.799999,8,122.3,.31999999,.0089496588,7,7,3,6,.838,342,37
1981,68.300003,18.799999,14.7,9.6000004,.039999999,.015209613,2.4400001,.98000002,3,7.75,.109162,452.76001,38
1981,70.300003,13.6,28.5,263.39999,.33000001,.0117883,3.3299999,1.33,4.5,8.3500004,1.761263,279,39
1981,67.900002,14,11.4,45.099998,.14,.007403641,6,2.4000001,2,4,1.7640001,195,40
1981,77.800003,15,18.299999,27.799999,.20999999,.014958618,10,4,0,7.5,2.135,407,41
1981,68.300003,14.2,33.299999,264.60001,.27000001,.016089993,2.2,2.2,6,10.5,1.590356,430.64999,42
1981,62.799999,20.4,24.700001,912,.28999999,.015035316,8.7799997,4.5700002,6,8,1.847,516,44
1981,55.200001,16.1,8.1000004,105.6,.28999999,.0061414032,7,3.5,4,6,1.01,246,45
1981,69.800003,16.9,16.799999,9.1000004,.090000004,.019378418,0,0,4,0,.847,396,46
1981,57.799999,16.1,17.6,112.3,.25999999,.0090855164,0,0,4.5,6,.95599997,252,47
1981,62.599998,13.6,8.6000004,56.299999,.16,.01337142,0,0,4,0,1.8839999,240,48
1981,82.300003,12.8,20.799999,18.4,.15000001,.0076568741,4.0300002,1.1,4,4,.82200003,330,49
1981,73,17.299999,21.700001,55.700001,.25999999,.016929891,13.71,5.48,3,7.5,1.076,360,50
1981,68,20,13.2,137.5,.19,.008136645,5.75,2.3,3,6,1.34,396,51
1981,79.800003,13.1,31.5,63.599998,.18000001,.0098976493,0,0,5,0,1.486776,324,53
1981,57.599998,15.1,38.299999,81.099998,.18000001,.0048010349,8.7600002,3.5,3.5,6,1.285,472,54
1981,71.599998,13,24.5,87,.31,.020029614,10,10,4,7.9000001,.949,417,55
1981,80.099998,12.8,19.6,5.0999999,.039999999,.0068641729,0,0,3,0,.60116702,216.3,56
1982,59.099998,10.8,17.700001,77.300003,.23,.0034769771,2.5599999,4.0999999,4,5,1.048,264,1
1982,75.699997,14.1,11.2,25.4,.13,.0068952371,4.1700001,1.67,4,10.5,1.443,174,4
1982,58,17.799999,9.8000002,44.099998,.23999999,.0076430449,7,5.5999999,3,6,1.402,420.89999,5
1982,74.599998,16.700001,22.6,159.10001,.18000001,.0065266131,11,7.1500001,4.75,9.6000004,2.3574469,252,6
1982,82.199997,15.1,14.1,29.5,.13,.0088024465,4.1700001,1.67,3,5,1.209,270,8
1982,73.5,20.1,23.4,647.79999,.28,.013544083,0,2.8,7.5,10,2.1429999,420,9
1982,71.699997,18.4,23.5,306.5,.31999999,.006325624,13.5,5.4000001,0,8.6999998,1.300931,561,10
1982,69,19.299999,11,193.89999,.11,.0086486395,0,0,4,5,1.483,270,12
1982,59.799999,15.7,10.4,97.5,.20999999,.0082748616,6,2.4000001,3,6,1.165,322.79999,13
1982,77.099998,14.5,18.1,11.8,.15000001,.0092658363,7.5,3,3,6.5,1.455,528,16
1982,72.699997,14.2,25,205.5,.22,.015302948,2.5,2.5,4,6.5,1.495,399,17
1982,69.699997,14.8,26.5,152.39999,.30000001,.0097963857,1.9,.75999999,4,6,.419,240,18
1982,74.800003,12.4,23.4,51.700001,.23999999,.0153093,6.9499998,2.78,3,10,1.245,522,19
1982,76.599998,13.4,13.4,29.299999,.18000001,.01402429,4.71,1.88,3,4.5,1.1339999,258,20
1982,55.5,14.9,20,92.699997,.23999999,.0071046669,3.0899999,1.24,5,6,1.2,800,21
1982,60.299999,11.7,14,99.900002,.11,.003037554,2.9100001,1.17,3,8,1.683,203.4648,22
1982,71.800003,18.299999,20.6,36.799999,.23999999,.012287697,10,4,5,6.9299998,2.589,300,23
1982,70.5,16.299999,22.4,438.20001,.13,.011317285,5,2,5,7,2.102,300,24
1982,74.199997,14.8,25.200001,736.29999,.25,.012470815,5.3800001,4.3000002,5,9.4961996,1.808,402,25
1982,73,14.3,31.799999,160.5,.31,.021694195,5.0999999,2.04,4,0,1.864,540,26
1982,76.400002,15.2,21.9,51.900002,.20999999,.0096331844,9.3599997,4.8699999,5,12,1.7589999,622.5,27
1982,57.299999,15.3,10.7,54.5,.22,.0055040768,3.8499999,3.8499999,5,4,1.016,240,28
1982,65.599998,15.9,20.799999,71.5,.22,.0094157523,2.9100001,1.17,3.125,5,.86500001,343.20001,29
1982,77.800003,13.4,22.5,5.5,.059999999,.014953801,5.8200002,2.3299999,0,6.75,1.899,352,30
1982,76.699997,17.200001,17.5,20.6,.14,.019248338,8.2600002,3.3,3,4.125,.87599999,222,31
1982,78.900002,15.1,25.6,8,.050000001,.0055698031,0,0,5.75,0,1.642745,334.79999,32
