FIPS,gt_end_emp,sb_end_emp,pri_end_emp,ne_end_emp,cedp_emp,cedc_emp,cedpi_emp,tf_end_emp,gt_end_pop,sb_end_pop,pri_end_pop,ne_end_pop,cedp_pop,cedc_pop,cedpi_pop,tf_end_pop,gt_end_output,sb_end_output,pri_end_output,ne_end_output,cedp_output,cedc_output,cedpi_output,tf_end_output,gt_end_nfinc,sb_end_nfinc,pri_end_nfinc,ne_end_nfinc,cedp_nfinc,cedc_nfinc,cedpi_nfinc,tf_end_nfinc
1019,-0.133950768,0.084541906,0.092979156,0.027164744,0.179441094,0.067201738,0.067201738,0.032819068,-0.016973903,0.028737024,0.052887025,0.033247522,0.04586378,0.11896746,0.11896746,0.011965056,0.198744621,0.109410506,0.216318146,0.146397855,0.233159124,0.219003479,0.219003479,0.038169959,0.283851135,0.129559616,0.263301772,0.175728721,0.319252697,0.368491187,0.368491187,0.0491055
1021,0.179085784,0.04546725,0.018729715,-0.016151961,0.059202418,0.182622354,0.182622354,0.035750486,0.039030279,0.032720003,0.066495459,0.045793405,0.039191798,0.093857866,0.093857866,0.011015327,0.300958682,0.090965581,0.197610179,0.138029817,0.175077914,0.23847833,0.23847833,0.014492045,0.391930211,0.118982407,0.220491487,0.126366031,0.274240631,0.363132051,0.363132051,0.058201535
1023,0.195376325,-0.080483722,-0.196410924,-0.158327568,-0.037830702,-0.092661989,-0.092661989,-0.003742437,0.003293515,-0.048822059,-0.064894285,-0.036044544,-0.041689232,0.011649655,0.011649655,-0.017857025,0.459067391,0.088913929,0.129417857,0.108987812,0.192755979,0.14038333,0.14038333,0.007143138,0.505658886,0.066733491,0.085835081,0.049110432,0.244628411,0.212872836,0.212872836,0.006293172
1025,-0.000354463,0.009792119,-0.060460027,-0.072788485,0.12981675,0.183099666,0.183099666,0.007359382,-0.027573786,-0.024404861,-0.035027361,-0.023630281,0.001022756,0.004080597,0.004080597,-0.004884557,0.278630966,0.070553625,0.160806288,0.112276733,0.158753424,0.183400268,0.183400268,0.01702304,0.305773782,0.105093407,0.159686961,0.070026921,0.311162519,0.269556226,0.269556226,0.051935309
1027,-0.043861481,-0.110515326,-0.164416257,-0.100695318,0.186111425,0.206834212,0.206834212,0.00854617,-0.025939422,-0.012456616,-0.003746249,0.005838714,-0.014540017,0.031058397,0.031058397,-0.005790159,0.213093937,0.15052477,0.244756557,0.135150637,0.20424663,0.16833411,0.16833411,0.061320829,0.261361638,0.103374001,0.195503863,0.10916406,0.304609431,0.279202725,0.279202725,0.047671898
1029,-0.001463593,-0.067548259,-0.112812992,-0.059471272,0.084230754,0.104720796,0.104720796,0.003944778,-0.01924805,0.008193036,0.021143927,0.02649953,0.010222364,0.043958037,0.043958037,-0.006880522,0.269212429,0.112147557,0.223784338,0.142511505,0.172109828,0.165504274,0.165504274,0.028635742,0.354944535,0.131662321,0.207046024,0.099456663,0.209648999,0.245282361,0.245282361,0.076216777
1031,0.111816666,0.063464512,-0.051210793,-0.097579725,0.139145414,0.117124986,0.117124986,0.036315937,0.02345433,0.030125407,0.031246906,0.00600479,-0.00145297,0.060971035,0.060971035,0.016516354,0.278790065,0.102364177,0.152140173,0.080496567,0.183292521,0.13529887,0.13529887,0.038788355,0.425696306,0.165751927,0.27031357,0.155683934,0.26111362,0.245585608,0.245585608,0.06493397
1033,-0.112010099,-0.004470242,-0.041640167,-0.060557475,0.11496809,0.019016565,0.019016565,0.032397878,-0.041851171,-0.007566009,-0.006141456,-0.003276861,0.001447096,0.030099724,0.030099724,0.001859027,0.126116043,0.11874237,0.16741166,0.097683826,0.107891879,0.104873004,0.104873004,0.016453566,0.235460005,0.086996417,0.146419493,0.083730225,0.328921487,0.229650443,0.229650443,0.02704369
1035,0.014512726,-0.010428076,-0.004358255,-0.000652529,0.038856985,0.124449567,0.124449567,0.001529888,-0.040742023,-0.037271395,-0.052788825,-0.026118618,-0.046025098,0.008822872,0.008822872,-0.011475232,0.302178493,0.069936579,0.13626977,0.064698223,0.258692111,0.235221318,0.235221318,0.049621036,0.290563176,0.057485338,0.132337672,0.070163534,0.258774033,0.277617496,0.277617496,0.05135585
1037,-0.057532815,-0.136191785,-0.223799074,-0.140483041,0.118798943,0.047995859,0.047995859,-0.037537919,-0.028173373,-0.024608214,-0.048542976,-0.033092025,0.003677299,0.05943375,0.05943375,-0.014769288,0.313291635,0.048790196,0.105649464,0.055235383,0.221631403,0.189335114,0.189335114,0.002403468,0.344732903,0.08376457,0.129568124,0.03153681,0.284779463,0.298637091,0.298637091,0.03671445
